starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 12:56:21 2022	1643172981	20	528	548	104
Wed Jan 26 12:56:18 2022	1643172978	23	525	548	71
Wed Jan 26 12:56:15 2022	1643172975	12	536	548	66
Wed Jan 26 12:56:14 2022	1643172974	2	546	548	161
Wed Jan 26 12:56:13 2022	1643172973	3	545	548	89
Wed Jan 26 12:56:17 2022	1643172977	20	528	548	116
Wed Jan 26 12:56:15 2022	1643172975	3	545	548	147
Wed Jan 26 12:56:12 2022	1643172972	8	540	548	454
Wed Jan 26 12:56:17 2022	1643172977	10	538	548	88
Wed Jan 26 12:56:16 2022	1643172976	37	511	548	80
Wed Jan 26 12:56:16 2022	1643172976	22	526	548	54
Wed Jan 26 12:56:17 2022	1643172977	7	541	548	61
Wed Jan 26 12:56:16 2022	1643172976	9	540	548	80
Wed Jan 26 12:56:16 2022	1643172976	5	544	549	107
Wed Jan 26 12:56:16 2022	1643172976	7	542	549	41
Wed Jan 26 12:56:19 2022	1643172979	13	536	549	70
Wed Jan 26 12:56:16 2022	1643172976	22	527	549	62
Wed Jan 26 12:56:16 2022	1643172976	3	546	549	75
Wed Jan 26 12:56:17 2022	1643172977	20	529	549	116
Wed Jan 26 12:56:23 2022	1643172983	5	545	549	85
Wed Jan 26 12:56:18 2022	1643172978	13	537	549	84
Wed Jan 26 12:56:16 2022	1643172976	2	547	549	75
Wed Jan 26 12:56:19 2022	1643172979	5	544	549	118
Wed Jan 26 12:56:16 2022	1643172976	12	537	549	90
Wed Jan 26 12:56:17 2022	1643172977	15	534	549	122
Wed Jan 26 12:56:17 2022	1643172977	20	530	549	75
Wed Jan 26 12:56:15 2022	1643172975	8	542	550	107
Wed Jan 26 12:56:18 2022	1643172978	9	541	550	62
Wed Jan 26 12:56:15 2022	1643172975	11	538	550	57
Wed Jan 26 12:56:20 2022	1643172980	11	539	550	126
Wed Jan 26 12:56:13 2022	1643172973	4	546	550	74
Wed Jan 26 12:56:19 2022	1643172979	6	543	550	87
Wed Jan 26 12:56:13 2022	1643172973	20	530	550	37
Wed Jan 26 12:56:15 2022	1643172975	3	548	550	65
Wed Jan 26 12:56:19 2022	1643172979	6	544	550	118
Wed Jan 26 12:56:20 2022	1643172980	10	540	550	107
Wed Jan 26 12:56:13 2022	1643172973	4	546	550	91
Wed Jan 26 12:56:17 2022	1643172977	10	540	550	117
Wed Jan 26 12:56:16 2022	1643172976	11	539	550	52
Wed Jan 26 12:56:19 2022	1643172979	6	544	550	129
Wed Jan 26 12:56:20 2022	1643172980	51	499	550	62
Wed Jan 26 12:56:15 2022	1643172975	12	539	550	58
Wed Jan 26 12:56:19 2022	1643172979	4	546	550	107
Wed Jan 26 12:56:16 2022	1643172976	8	542	550	138
Wed Jan 26 12:56:20 2022	1643172980	7	543	550	106
Wed Jan 26 12:56:15 2022	1643172975	4	546	551	81
Wed Jan 26 12:56:16 2022	1643172976	14	537	551	110
Wed Jan 26 12:56:12 2022	1643172972	1	550	551	331
Wed Jan 26 12:56:17 2022	1643172977	7	543	551	90
Wed Jan 26 12:56:18 2022	1643172978	3	548	551	88
Wed Jan 26 12:56:15 2022	1643172975	6	545	551	62
Wed Jan 26 12:56:16 2022	1643172976	7	544	551	76
Wed Jan 26 12:56:18 2022	1643172978	11	540	551	62
Wed Jan 26 12:56:19 2022	1643172979	7	544	551	118
Wed Jan 26 12:56:15 2022	1643172975	4	547	551	69
Wed Jan 26 12:56:12 2022	1643172972	1	550	551	421
Wed Jan 26 12:56:20 2022	1643172980	8	543	551	70
Wed Jan 26 12:56:17 2022	1643172977	9	542	551	117
Wed Jan 26 12:56:15 2022	1643172975	10	541	551	106
Wed Jan 26 12:56:20 2022	1643172980	12	539	551	126
Wed Jan 26 12:56:20 2022	1643172980	7	544	551	70
Wed Jan 26 12:56:16 2022	1643172976	14	537	551	131
Wed Jan 26 12:56:15 2022	1643172975	5	547	551	102
Wed Jan 26 12:56:13 2022	1643172973	22	529	552	37
Wed Jan 26 12:56:19 2022	1643172979	16	536	552	67
Wed Jan 26 12:56:18 2022	1643172978	3	549	552	96
Wed Jan 26 12:56:15 2022	1643172975	14	537	552	69
Wed Jan 26 12:56:17 2022	1643172977	7	545	552	100
Wed Jan 26 12:56:18 2022	1643172978	17	535	552	72
Wed Jan 26 12:56:15 2022	1643172975	11	541	552	73
Wed Jan 26 12:56:15 2022	1643172975	5	547	552	65
Wed Jan 26 12:56:21 2022	1643172981	19	533	552	86
Wed Jan 26 12:56:15 2022	1643172975	4	548	552	66
Wed Jan 26 12:56:16 2022	1643172976	15	538	552	116
Wed Jan 26 12:56:20 2022	1643172980	12	541	552	106
Wed Jan 26 12:56:16 2022	1643172976	42	510	553	80
Wed Jan 26 12:56:18 2022	1643172978	7	545	553	64
Wed Jan 26 12:56:18 2022	1643172978	17	536	553	64
Wed Jan 26 12:56:23 2022	1643172983	5	548	553	98
Wed Jan 26 12:56:15 2022	1643172975	9	544	553	108
Wed Jan 26 12:56:16 2022	1643172976	16	537	553	68
Wed Jan 26 12:56:14 2022	1643172974	4	549	553	188
Wed Jan 26 12:56:20 2022	1643172980	6	547	553	63
Wed Jan 26 12:56:17 2022	1643172977	6	547	553	92
Wed Jan 26 12:56:15 2022	1643172975	3	551	554	64
Wed Jan 26 12:56:17 2022	1643172977	16	538	554	82
Wed Jan 26 12:56:20 2022	1643172980	54	500	554	101
Wed Jan 26 12:56:20 2022	1643172980	5	549	554	119
Wed Jan 26 12:56:16 2022	1643172976	5	549	554	78
Wed Jan 26 12:56:20 2022	1643172980	9	545	554	108
Wed Jan 26 12:56:17 2022	1643172977	7	547	554	88
Wed Jan 26 12:56:16 2022	1643172976	4	550	554	78
Wed Jan 26 12:56:15 2022	1643172975	5	549	554	75
Wed Jan 26 12:56:21 2022	1643172981	16	538	554	82
Wed Jan 26 12:56:17 2022	1643172977	9	546	554	89
Wed Jan 26 12:56:15 2022	1643172975	16	539	554	51
Wed Jan 26 12:56:20 2022	1643172980	13	541	555	74
Wed Jan 26 12:56:20 2022	1643172980	8	547	555	52
Wed Jan 26 12:56:20 2022	1643172980	12	542	555	74
Wed Jan 26 12:56:22 2022	1643172982	8	547	555	121
Wed Jan 26 12:56:15 2022	1643172975	12	544	555	67
Wed Jan 26 12:56:21 2022	1643172981	4	551	555	133
Wed Jan 26 12:56:17 2022	1643172977	9	546	555	93
Wed Jan 26 12:56:18 2022	1643172978	14	541	555	64
Wed Jan 26 12:56:21 2022	1643172981	16	540	555	90
Wed Jan 26 12:56:16 2022	1643172976	6	550	555	54
Wed Jan 26 12:56:16 2022	1643172976	16	539	556	114
Wed Jan 26 12:56:18 2022	1643172978	5	551	556	99
Wed Jan 26 12:56:13 2022	1643172973	9	547	556	93
Wed Jan 26 12:56:20 2022	1643172980	18	538	556	61
Wed Jan 26 12:56:20 2022	1643172980	5	551	556	60
Wed Jan 26 12:56:16 2022	1643172976	17	539	556	118
Wed Jan 26 12:56:16 2022	1643172976	7	549	556	46
Wed Jan 26 12:56:16 2022	1643172976	9	547	556	45
Wed Jan 26 12:56:16 2022	1643172976	7	550	556	96
Wed Jan 26 12:56:22 2022	1643172982	5	552	556	126
Wed Jan 26 12:56:18 2022	1643172978	12	545	556	73
Wed Jan 26 12:56:16 2022	1643172976	22	534	557	105
Wed Jan 26 12:56:17 2022	1643172977	6	550	557	131
Wed Jan 26 12:56:16 2022	1643172976	5	552	557	105
Wed Jan 26 12:56:18 2022	1643172978	21	536	557	80
Wed Jan 26 12:56:18 2022	1643172978	3	554	557	155
Wed Jan 26 12:56:16 2022	1643172976	5	552	557	127
Wed Jan 26 12:56:16 2022	1643172976	5	552	557	131
Wed Jan 26 12:56:20 2022	1643172980	6	551	557	143
Wed Jan 26 12:56:15 2022	1643172975	6	551	557	71
Wed Jan 26 12:56:13 2022	1643172973	9	548	557	80
Wed Jan 26 12:56:16 2022	1643172976	6	551	557	127
Wed Jan 26 12:56:19 2022	1643172979	13	544	557	76
Wed Jan 26 12:56:16 2022	1643172976	16	542	557	77
Wed Jan 26 12:56:19 2022	1643172979	13	544	557	76
Wed Jan 26 12:56:18 2022	1643172978	13	544	557	172
Wed Jan 26 12:56:15 2022	1643172975	10	548	558	71
Wed Jan 26 12:56:19 2022	1643172979	14	544	558	129
Wed Jan 26 12:56:16 2022	1643172976	6	552	558	48
Wed Jan 26 12:56:15 2022	1643172975	5	552	558	71
Wed Jan 26 12:56:16 2022	1643172976	5	552	558	61
Wed Jan 26 12:56:15 2022	1643172975	4	554	558	66
Wed Jan 26 12:56:21 2022	1643172981	6	552	558	134
Wed Jan 26 12:56:21 2022	1643172981	19	540	558	127
Wed Jan 26 12:56:16 2022	1643172976	7	552	558	131
Wed Jan 26 12:56:16 2022	1643172976	40	518	558	87
Wed Jan 26 12:56:13 2022	1643172973	10	548	558	87
Wed Jan 26 12:56:16 2022	1643172976	11	548	558	84
Wed Jan 26 12:56:20 2022	1643172980	12	547	559	76
Wed Jan 26 12:56:20 2022	1643172980	50	509	559	76
Wed Jan 26 12:56:16 2022	1643172976	7	552	559	50
Wed Jan 26 12:56:15 2022	1643172975	12	547	559	130
Wed Jan 26 12:56:20 2022	1643172980	10	549	559	122
Wed Jan 26 12:56:20 2022	1643172980	5	554	559	87
Wed Jan 26 12:56:15 2022	1643172975	12	547	559	130
Wed Jan 26 12:56:20 2022	1643172980	3	556	559	120
Wed Jan 26 12:56:18 2022	1643172978	25	534	559	81
Wed Jan 26 12:56:15 2022	1643172975	13	547	559	68
Wed Jan 26 12:56:15 2022	1643172975	8	551	559	67
Wed Jan 26 12:56:15 2022	1643172975	7	553	560	74
Wed Jan 26 12:56:13 2022	1643172973	2	557	560	88
Wed Jan 26 12:56:13 2022	1643172973	6	553	560	60
Wed Jan 26 12:56:15 2022	1643172975	6	554	560	66
Wed Jan 26 12:56:15 2022	1643172975	19	541	560	121
Wed Jan 26 12:56:13 2022	1643172973	4	556	560	70
Wed Jan 26 12:56:19 2022	1643172979	5	555	560	105
Wed Jan 26 12:56:15 2022	1643172975	5	555	560	87
Wed Jan 26 12:56:18 2022	1643172978	7	553	560	59
Wed Jan 26 12:56:15 2022	1643172975	7	554	560	66
Wed Jan 26 12:56:17 2022	1643172977	30	530	560	134
Wed Jan 26 12:56:17 2022	1643172977	9	552	560	90
Wed Jan 26 12:56:18 2022	1643172978	7	554	560	75
Wed Jan 26 12:56:18 2022	1643172978	5	555	560	59
Wed Jan 26 12:56:16 2022	1643172976	4	556	560	63
Wed Jan 26 12:56:18 2022	1643172978	6	554	560	59
Wed Jan 26 12:56:18 2022	1643172978	6	555	560	68
Wed Jan 26 12:56:16 2022	1643172976	16	544	561	109
Wed Jan 26 12:56:16 2022	1643172976	12	548	561	60
Wed Jan 26 12:56:17 2022	1643172977	4	557	561	129
Wed Jan 26 12:56:13 2022	1643172973	5	556	561	62
Wed Jan 26 12:56:14 2022	1643172974	4	557	561	211
Wed Jan 26 12:56:15 2022	1643172975	5	556	561	140
Wed Jan 26 12:56:13 2022	1643172973	4	557	561	62
Wed Jan 26 12:56:16 2022	1643172976	4	557	561	64
Wed Jan 26 12:56:18 2022	1643172978	11	550	561	68
Wed Jan 26 12:56:14 2022	1643172974	15	546	561	175
Wed Jan 26 12:56:18 2022	1643172978	4	558	561	77
Wed Jan 26 12:56:15 2022	1643172975	4	557	562	160
Wed Jan 26 12:56:16 2022	1643172976	28	534	562	77
Wed Jan 26 12:56:20 2022	1643172980	7	555	562	66
Wed Jan 26 12:56:17 2022	1643172977	5	557	562	90
Wed Jan 26 12:56:16 2022	1643172976	11	551	562	64
Wed Jan 26 12:56:16 2022	1643172976	3	558	562	62
Wed Jan 26 12:56:15 2022	1643172975	9	553	562	66
Wed Jan 26 12:56:17 2022	1643172977	5	557	562	115
Wed Jan 26 12:56:15 2022	1643172975	13	550	562	146
Wed Jan 26 12:56:17 2022	1643172977	6	557	563	116
Wed Jan 26 12:56:17 2022	1643172977	15	548	563	71
Wed Jan 26 12:56:16 2022	1643172976	13	549	563	62
Wed Jan 26 12:56:16 2022	1643172976	8	555	563	71
Wed Jan 26 12:56:18 2022	1643172978	9	554	563	162
Wed Jan 26 12:56:17 2022	1643172977	10	553	563	78
Wed Jan 26 12:56:21 2022	1643172981	16	547	563	168
Wed Jan 26 12:56:20 2022	1643172980	31	532	563	37
Wed Jan 26 12:56:17 2022	1643172977	8	555	563	103
Wed Jan 26 12:56:13 2022	1643172973	3	560	563	63
Wed Jan 26 12:56:17 2022	1643172977	3	560	563	131
Wed Jan 26 12:56:16 2022	1643172976	15	548	563	53
Wed Jan 26 12:56:18 2022	1643172978	13	550	563	62
