starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 01:23:52 2022	1643131432	6	585	591	95
Wed Jan 26 01:23:55 2022	1643131435	7	584	591	51
Wed Jan 26 01:23:53 2022	1643131433	5	587	591	108
Wed Jan 26 01:23:59 2022	1643131439	5	587	591	173
Wed Jan 26 01:23:52 2022	1643131432	32	560	591	74
Wed Jan 26 01:23:50 2022	1643131430	5	586	591	94
Wed Jan 26 01:23:54 2022	1643131434	6	586	592	182
Wed Jan 26 01:23:55 2022	1643131435	5	587	592	54
Wed Jan 26 01:23:54 2022	1643131434	32	560	592	130
Wed Jan 26 01:23:55 2022	1643131435	7	584	592	48
Wed Jan 26 01:23:50 2022	1643131430	36	556	592	145
Wed Jan 26 01:23:59 2022	1643131439	13	579	592	126
Wed Jan 26 01:23:52 2022	1643131432	31	561	592	74
Wed Jan 26 01:23:59 2022	1643131439	15	577	592	127
Wed Jan 26 01:23:50 2022	1643131430	7	585	592	102
Wed Jan 26 01:23:50 2022	1643131430	12	580	592	77
Wed Jan 26 01:23:52 2022	1643131432	32	560	592	63
Wed Jan 26 01:23:52 2022	1643131432	8	584	592	70
Wed Jan 26 01:23:53 2022	1643131433	4	588	592	143
Wed Jan 26 01:23:52 2022	1643131432	6	586	592	116
Wed Jan 26 01:23:55 2022	1643131435	9	583	592	46
Wed Jan 26 01:23:55 2022	1643131435	7	586	593	54
Wed Jan 26 01:23:53 2022	1643131433	3	590	593	139
Wed Jan 26 01:23:53 2022	1643131433	8	585	593	88
Wed Jan 26 01:23:56 2022	1643131436	15	578	593	93
Wed Jan 26 01:23:56 2022	1643131436	7	586	593	69
Wed Jan 26 01:23:58 2022	1643131438	5	588	593	88
Wed Jan 26 01:23:52 2022	1643131432	6	588	594	96
Wed Jan 26 01:23:56 2022	1643131436	14	580	594	38
Wed Jan 26 01:23:52 2022	1643131432	3	591	594	99
Wed Jan 26 01:23:52 2022	1643131432	10	584	594	69
Wed Jan 26 01:23:59 2022	1643131439	8	587	594	170
Wed Jan 26 01:23:54 2022	1643131434	12	582	594	100
Wed Jan 26 01:23:59 2022	1643131439	8	586	594	65
Wed Jan 26 01:23:59 2022	1643131439	13	581	594	158
Wed Jan 26 01:23:52 2022	1643131432	5	590	595	86
Wed Jan 26 01:23:58 2022	1643131438	23	572	595	119
Wed Jan 26 01:23:59 2022	1643131439	4	591	595	145
Wed Jan 26 01:23:53 2022	1643131433	9	586	595	108
Wed Jan 26 01:23:53 2022	1643131433	2	593	595	134
Wed Jan 26 01:23:52 2022	1643131432	5	590	595	123
Wed Jan 26 01:23:53 2022	1643131433	7	588	595	154
Wed Jan 26 01:23:54 2022	1643131434	4	591	595	104
Wed Jan 26 01:23:55 2022	1643131435	8	588	596	60
Wed Jan 26 01:23:52 2022	1643131432	2	594	596	99
Wed Jan 26 01:23:57 2022	1643131437	3	593	596	166
Wed Jan 26 01:23:59 2022	1643131439	7	589	596	129
Wed Jan 26 01:23:52 2022	1643131432	10	586	596	72
Wed Jan 26 01:23:50 2022	1643131430	13	583	596	40
Wed Jan 26 01:23:54 2022	1643131434	16	580	596	98
Wed Jan 26 01:23:57 2022	1643131437	2	594	596	166
Wed Jan 26 01:23:53 2022	1643131433	5	592	597	114
Wed Jan 26 01:23:52 2022	1643131432	7	590	597	99
Wed Jan 26 01:23:55 2022	1643131435	34	563	597	41
Wed Jan 26 01:23:53 2022	1643131433	26	570	597	101
Wed Jan 26 01:23:50 2022	1643131430	12	585	597	62
Wed Jan 26 01:23:59 2022	1643131439	21	576	597	166
Wed Jan 26 01:23:52 2022	1643131432	23	574	597	144
Wed Jan 26 01:23:49 2022	1643131429	16	581	597	175
Wed Jan 26 01:23:59 2022	1643131439	15	583	597	134
Wed Jan 26 01:23:53 2022	1643131433	9	588	597	154
Wed Jan 26 01:23:50 2022	1643131430	44	554	597	108
Wed Jan 26 01:23:53 2022	1643131433	6	591	597	110
Wed Jan 26 01:23:53 2022	1643131433	12	585	597	106
Wed Jan 26 01:23:59 2022	1643131439	6	592	598	67
Wed Jan 26 01:23:56 2022	1643131436	8	590	598	84
Wed Jan 26 01:23:58 2022	1643131438	15	583	598	147
Wed Jan 26 01:23:51 2022	1643131431	9	589	598	181
Wed Jan 26 01:23:52 2022	1643131432	6	592	598	138
Wed Jan 26 01:23:53 2022	1643131433	5	593	598	160
Wed Jan 26 01:23:53 2022	1643131433	2	596	598	143
Wed Jan 26 01:23:59 2022	1643131439	1	596	598	130
Wed Jan 26 01:23:55 2022	1643131435	7	591	598	63
Wed Jan 26 01:23:52 2022	1643131432	24	574	598	144
Wed Jan 26 01:23:50 2022	1643131430	20	578	598	137
Wed Jan 26 01:23:50 2022	1643131430	20	578	598	58
Wed Jan 26 01:23:50 2022	1643131430	42	556	598	108
Wed Jan 26 01:23:54 2022	1643131434	11	587	598	104
Wed Jan 26 01:23:50 2022	1643131430	12	586	598	62
Wed Jan 26 01:23:54 2022	1643131434	10	588	598	113
Wed Jan 26 01:23:51 2022	1643131431	16	583	598	80
Wed Jan 26 01:23:53 2022	1643131433	7	592	598	116
Wed Jan 26 01:23:52 2022	1643131432	7	592	599	125
Wed Jan 26 01:23:52 2022	1643131432	21	577	599	73
Wed Jan 26 01:23:49 2022	1643131429	18	580	599	175
Wed Jan 26 01:23:55 2022	1643131435	12	587	599	70
Wed Jan 26 01:23:52 2022	1643131432	10	589	599	89
Wed Jan 26 01:23:53 2022	1643131433	5	594	599	107
Wed Jan 26 01:23:55 2022	1643131435	11	588	599	70
Wed Jan 26 01:23:53 2022	1643131433	25	574	599	100
Wed Jan 26 01:23:50 2022	1643131430	9	590	599	104
Wed Jan 26 01:23:52 2022	1643131432	27	572	599	137
Wed Jan 26 01:23:55 2022	1643131435	10	589	599	68
Wed Jan 26 01:23:55 2022	1643131435	11	588	599	54
Wed Jan 26 01:23:52 2022	1643131432	33	566	599	71
Wed Jan 26 01:23:50 2022	1643131430	14	585	599	152
Wed Jan 26 01:23:58 2022	1643131438	8	591	599	195
Wed Jan 26 01:23:53 2022	1643131433	28	572	600	69
Wed Jan 26 01:23:52 2022	1643131432	5	595	600	91
Wed Jan 26 01:23:53 2022	1643131433	24	576	600	104
Wed Jan 26 01:23:50 2022	1643131430	38	562	600	104
Wed Jan 26 01:23:53 2022	1643131433	19	580	600	153
Wed Jan 26 01:23:50 2022	1643131430	19	580	600	56
Wed Jan 26 01:23:52 2022	1643131432	11	589	600	99
Wed Jan 26 01:23:52 2022	1643131432	3	597	600	48
Wed Jan 26 01:23:52 2022	1643131432	10	590	600	100
Wed Jan 26 01:23:50 2022	1643131430	16	584	600	66
Wed Jan 26 01:23:52 2022	1643131432	18	582	600	68
Wed Jan 26 01:23:58 2022	1643131438	15	586	600	184
Wed Jan 26 01:23:52 2022	1643131432	5	595	601	131
Wed Jan 26 01:23:52 2022	1643131432	12	588	601	49
Wed Jan 26 01:23:52 2022	1643131432	13	588	601	84
Wed Jan 26 01:24:00 2022	1643131440	9	593	601	150
Wed Jan 26 01:23:53 2022	1643131433	18	583	601	75
Wed Jan 26 01:23:53 2022	1643131433	17	584	601	75
Wed Jan 26 01:23:56 2022	1643131436	6	595	601	52
Wed Jan 26 01:23:55 2022	1643131435	33	568	601	52
Wed Jan 26 01:23:53 2022	1643131433	5	596	602	145
Wed Jan 26 01:23:54 2022	1643131434	15	586	602	183
Wed Jan 26 01:23:55 2022	1643131435	4	598	602	42
Wed Jan 26 01:23:52 2022	1643131432	2	600	602	99
Wed Jan 26 01:23:57 2022	1643131437	16	586	602	137
Wed Jan 26 01:23:53 2022	1643131433	12	590	602	82
Wed Jan 26 01:23:53 2022	1643131433	10	592	602	115
Wed Jan 26 01:23:56 2022	1643131436	6	596	602	114
Wed Jan 26 01:23:55 2022	1643131435	23	579	602	51
Wed Jan 26 01:23:59 2022	1643131439	12	590	602	138
Wed Jan 26 01:23:58 2022	1643131438	13	590	602	192
Wed Jan 26 01:23:52 2022	1643131432	6	597	603	133
Wed Jan 26 01:23:53 2022	1643131433	12	591	603	164
Wed Jan 26 01:23:52 2022	1643131432	13	589	603	136
Wed Jan 26 01:23:59 2022	1643131439	1	602	603	154
Wed Jan 26 01:23:52 2022	1643131432	7	596	603	104
Wed Jan 26 01:23:52 2022	1643131432	5	598	603	133
Wed Jan 26 01:23:54 2022	1643131434	5	598	603	163
Wed Jan 26 01:23:49 2022	1643131429	12	591	603	363
Wed Jan 26 01:23:52 2022	1643131432	5	598	603	133
Wed Jan 26 01:23:53 2022	1643131433	13	590	603	164
Wed Jan 26 01:23:51 2022	1643131431	18	585	604	148
Wed Jan 26 01:23:56 2022	1643131436	7	597	604	98
Wed Jan 26 01:23:57 2022	1643131437	7	596	604	163
Wed Jan 26 01:23:52 2022	1643131432	14	589	604	89
Wed Jan 26 01:23:49 2022	1643131429	24	579	604	141
Wed Jan 26 01:23:59 2022	1643131439	16	588	604	136
Wed Jan 26 01:23:50 2022	1643131430	5	599	604	144
Wed Jan 26 01:23:52 2022	1643131432	2	602	604	99
Wed Jan 26 01:23:49 2022	1643131429	14	591	604	153
Wed Jan 26 01:23:52 2022	1643131432	8	596	604	133
Wed Jan 26 01:23:53 2022	1643131433	2	602	604	147
Wed Jan 26 01:23:52 2022	1643131432	9	596	605	89
Wed Jan 26 01:23:59 2022	1643131439	3	602	605	162
Wed Jan 26 01:23:56 2022	1643131436	15	590	605	100
Wed Jan 26 01:23:55 2022	1643131435	17	588	605	78
Wed Jan 26 01:23:59 2022	1643131439	12	593	605	128
Wed Jan 26 01:23:52 2022	1643131432	19	586	605	89
Wed Jan 26 01:23:52 2022	1643131432	17	588	605	99
Wed Jan 26 01:23:50 2022	1643131430	37	568	605	110
Wed Jan 26 01:23:53 2022	1643131433	5	600	605	124
Wed Jan 26 01:23:49 2022	1643131429	13	593	605	364
Wed Jan 26 01:23:49 2022	1643131429	13	593	605	139
Wed Jan 26 01:23:52 2022	1643131432	6	599	605	135
Wed Jan 26 01:23:53 2022	1643131433	7	599	606	121
Wed Jan 26 01:23:55 2022	1643131435	6	600	606	52
Wed Jan 26 01:23:58 2022	1643131438	14	592	606	187
Wed Jan 26 01:23:53 2022	1643131433	20	586	606	105
Wed Jan 26 01:23:53 2022	1643131433	10	596	606	164
Wed Jan 26 01:23:55 2022	1643131435	20	586	606	76
Wed Jan 26 01:23:55 2022	1643131435	6	600	606	56
Wed Jan 26 01:23:58 2022	1643131438	16	590	606	187
